平台,JSON区块,字段路径,含义,是否供Agent粗估直接使用,备注
YouTube,metrics.channel,metrics.channel.name,频道名称,否,主页基础信息
YouTube,metrics.channel,metrics.channel.channel_url,主页链接,是,候选池主页URL
YouTube,metrics.channel,metrics.channel.subscriber_count,订阅数,是,粗估粉丝维度
YouTube,metrics.channel,metrics.channel.tier,账号量级标签,否,展示参考
YouTube,metrics.channel,metrics.channel.creator_country,创作者自报国家,是,候选池创作者国家(自报)
YouTube,metrics.channel,metrics.channel.email,主页简介中提取的邮箱,否,商务联络参考
YouTube,metrics.channel,metrics.channel.category,采样视频最常见分类,否,内容定位参考
YouTube,metrics.channel,metrics.channel.subtitle_summary,字幕语言摘要,否,内容承载参考
YouTube,metrics.channel,metrics.channel.raw_tags_top,采样视频原始标签 Top15,否,题材映射参考
YouTube,metrics.channel,metrics.channel.latest_upload,最近上传时间,是,粗估活跃度维度
YouTube,metrics.channel,metrics.channel.total_views,频道总观看,否,背景参考
YouTube,metrics.channel,metrics.channel.total_videos,长视频总数,否,背景参考
YouTube,metrics.channel,metrics.channel.shorts_count,Shorts 数量,否,内容结构参考
YouTube,metrics.channel,metrics.channel.avg_views_channel,频道总观看/总视频数,否,流量效率参考
YouTube,metrics.channel,metrics.channel.description,主页简介摘要,否,内容与商务参考
YouTube,metrics.metrics,metrics.metrics.sampled_videos,抽样视频数,否,采样覆盖度
YouTube,metrics.metrics,metrics.metrics.avg_views_recent,抽样视频平均播放,是,候选池近期均播放
YouTube,metrics.metrics,metrics.metrics.median_views_recent,抽样视频中位播放,否,稳定度参考
YouTube,metrics.metrics,metrics.metrics.avg_likes_recent,抽样视频平均点赞,否,互动参考
YouTube,metrics.metrics,metrics.metrics.avg_comments_recent,抽样视频平均评论,否,互动参考
YouTube,metrics.metrics,metrics.metrics.engagement_rate_weighted,加权互动率((赞+评)/播放),是,粗估 ER 阈值直接使用
YouTube,metrics.metrics,metrics.metrics.engagement_rate_simple,逐视频简单 ER 均值,否,辅助参考
YouTube,metrics.metrics,metrics.metrics.like_rate_weighted,加权点赞率,否,细分参考
YouTube,metrics.metrics,metrics.metrics.comment_rate_weighted,加权评论率,否,细分参考
YouTube,metrics.metrics,metrics.metrics.view_sub_ratio,播放/订阅比,否,流量效率参考
YouTube,metrics.metrics,metrics.metrics.upload_interval_days_avg,平均更新间隔(天),否,稳定更新参考
YouTube,metrics.recent_top,metrics.recent_top[].title,高播放视频标题,否,内容理解
YouTube,metrics.recent_top,metrics.recent_top[].views,高播放视频播放,否,爆款参考
YouTube,metrics.recent_top,metrics.recent_top[].likes,高播放视频点赞,否,爆款参考
YouTube,metrics.recent_top,metrics.recent_top[].comments,高播放视频评论,否,爆款参考
YouTube,metrics.recent_top,metrics.recent_top[].date,高播放视频发布日期,否,人工复核
YouTube,metrics.recent_top,metrics.recent_top[].url,高播放视频链接,否,人工复核
YouTube,metrics.monthly_trend,metrics.monthly_trend[].month,按月聚合月份,否,近似趋势
YouTube,metrics.monthly_trend,metrics.monthly_trend[].videos,当月采样视频数,否,近似趋势
YouTube,metrics.monthly_trend,metrics.monthly_trend[].avg_views,当月采样平均播放,否,近似趋势
YouTube,metrics.videos,metrics.videos[].id,抽样视频ID,否,原始明细
YouTube,metrics.videos,metrics.videos[].title,抽样视频标题,否,原始明细
YouTube,metrics.videos,metrics.videos[].upload_date,抽样视频上传日期,否,原始明细
YouTube,metrics.videos,metrics.videos[].duration_sec,抽样视频时长,否,原始明细
YouTube,metrics.videos,metrics.videos[].view_count,抽样视频播放,否,原始明细
YouTube,metrics.videos,metrics.videos[].like_count,抽样视频点赞,否,原始明细
YouTube,metrics.videos,metrics.videos[].comment_count,抽样视频评论,否,原始明细
YouTube,metrics.videos,metrics.videos[].language,抽样视频语言,否,原始明细
YouTube,metrics.videos,metrics.videos[].categories,抽样视频分类,否,原始明细
YouTube,metrics.videos,metrics.videos[].subtitles_langs,抽样视频字幕语言,否,原始明细
YouTube,metrics.videos,metrics.videos[].tags,抽样视频标签,否,原始明细
YouTube,metrics.videos,metrics.videos[].description,抽样视频描述摘要,否,原始明细
YouTube,metrics.videos,metrics.videos[].source,该视频数据来源(yt-dlp/tikhub),否,抓取来源说明
YouTube,metrics.meta,metrics.data_source.channel,频道层数据来源,否,yt-dlp 或 tikhub
YouTube,metrics.meta,metrics.data_source.videos,视频层数据来源,否,yt-dlp/tikhub/mixed
YouTube,metrics.meta,metrics.missing_fields[],当前脚本拿不到的字段说明,否,提醒后续需媒体包或人工补充
YouTube,comments.meta,comments.数据来源,评论抓取来源,否,yt-dlp 或回退来源
YouTube,comments.meta,comments.videos_sampled,抽样评论视频数,否,采样覆盖度
YouTube,comments.meta,comments.comments_sampled,抽样评论总数,否,采样覆盖度
YouTube,comments.per_video,comments.per_video[].id,评论抽样视频ID,否,说明评论来自哪条视频
YouTube,comments.per_video,comments.per_video[].title,评论抽样视频标题,否,人工复核
YouTube,comments.per_video,comments.per_video[].views,评论抽样视频播放,否,人工复核
YouTube,comments.per_video,comments.per_video[].likes,评论抽样视频点赞,否,人工复核
YouTube,comments.per_video,comments.per_video[].comment_count,评论抽样视频总评论数,否,人工复核
YouTube,comments.per_video,comments.per_video[].sampled,该视频实际抓取评论数,否,采样覆盖度
YouTube,comments.signals,comments.signals.泛泛灌水占比,泛泛夸赞型评论占比,是,评论质量判断核心输入
YouTube,comments.signals,comments.signals.模板化重复评论占比,模板化重复评论占比,是,评论质量判断核心输入
YouTube,comments.signals,comments.signals.重复评论样例,重复评论样例文本,否,人工复核
YouTube,comments.signals,comments.signals.召唤抽奖类,抽奖/召唤式评论数,否,作弊/活动信号
YouTube,comments.signals,comments.signals.平均评论长度(字符),评论平均长度,否,真实性参考
YouTube,comments.signals,comments.signals.多emoji评论占比,多表情评论占比,否,真实性参考
YouTube,comments.signals,comments.signals.频道主回复数,频道主回复数,否,经营活跃度参考
YouTube,comments.signals,comments.signals.0赞评论占比,零赞评论占比,否,互动质量参考
YouTube,comments.signals,comments.signals.疑问句占比(软),疑问句占比,否,软信号
YouTube,comments.signals,comments.signals.含表情占比(软),含表情评论占比,否,软信号
YouTube,comments.signals,comments.signals.含时间戳占比(软),含时间戳评论占比,否,软信号
